Unnamed: 0,id,title,content,date,time,slug,category,assets,timestamp,links
428,183,Africa Finance Corporation Sells Stake in Takoradi Port Project,"Africa Finance Corporation (AFC) has sold its 35% equity share in Atlantic Terminal Services Ltd. (ATSL) to the port operator Yilport Holding.



 In 2019, AFC, an African development finance institution, committed to investing up to $138 million in equity and debt for the TAKORADI PORT Expansion project. The project, awarded to Yilport under a 25-year concession, entrusts them with responsibilities involving design, engineering, finance, and reconstruction of the terminal.



 While AFC has exited its equity position, it will continue to provide financial support to the project. Additionally, other stakeholders such as Ibistek and Ghana Ports & Harbours Authority remain actively involved.



 The primary objective of the Takoradi project is to modernize the port, streamlining the import and export processes in Ghana's western and central regions. The project when complete, will lead to increased efficiency, benefiting not only Ghana but also its neighboring landlocked countries.



TAKORADI PORT provides faster and less congested trade routes to the western and central regions of Ghana, making it a central and strategic hub for the neighboring landlocked nations. The Takoradi region also boasts numerous industrial areas, business parks, and a growing natural resources sector. Additionally, it also supports substantial agriculture, including being the source of 50% of Ghana's cocoa production.



 Yilport Holding's new acquisition signifies its entry into the African market. They plan to transform the port and its surrounding areas into a thriving trade and logistics center, thereby attracting significant traffic.



 AFC's recent completion of two new ports, Terminal à Conteneurs De Nouakchott and the San Pedro Multipurpose Industrial Terminal in Côte d’Ivoire within the past year, underscores their unwavering commitment to infrastructure development in the region.",2023-11-04,08:21:59,africa-finance-corporation-sells-stake-in-takoradi-port-proj,Ports,[],2023-11-04 08:21:59+00:00,[]
730,480,"Bulk carrier collided with general cargo ship off Ramallo, both damaged ","Bulk carrier ARGENMAR MISTRAL collided with general cargo ship ES VANQUISH at around 2100 LT (UTC -3) Jul 2 at 313 kilometer mark in river Parana, downstream from Ramallo. Ships were sailing in opposite directions: ARGENMAR MISTRAL was proceeding upstream en route from Bahia Blanca to San Lorenzo; ES VANQUISH was proceeding downstream from San Lorenzo to Callao, Chile. Both ships sustained damages both above and below waterline, extent of damages unknown. 
 ARGENMAR MISTRAL resumed sailing upstream late Jul 3, at 0130 LT Jul 4 she was approaching San Lorenzo.
 ES VANQUISH after collision sailed downstream and was anchored off San Pedro, remained at anchor as of 0130 LT Jul 4.",2023-07-04,04:57:54,bulk-carrier-collided-with-general-cargo-ship-off-ramallo-bo,Accidents,[],2023-07-04 04:57:54+00:00,[]
1327,938,MSC 3000-TEU container ship disabled in the Atlantic Oct 16 UPDATE,"Oct 16 0720 UTC UPDATE: Sailing under own power at reduced speed of some 8-9 knots, ETA Las Palmas Oct 19, initial ETA Oct 15, delay 4 days.



Oct 15 0430 UTC UPDATE: The ship is on the move since 2020 UTC Oct 14, understood on tow, escorted by Senegalese patrol ships. Still no details of the accident, status and condition of ship and crew. She’s to be positioned offshore Las Palmas.



 Oct 14: Container ship MSC ATLANTIC on Oct 14 reported abandoned, adrift 60 NW of Serekunda, Gambia, Atlantic ocean. The ship left San Pedro Ivory Coast on Oct 9, bound for Las Palmas, was disabled and started to drift on Oct 13 or probably earlier. AIS as of 1230 UTC Oct 14, ship’s surrounded by several offshore tugs and other offshore units, cause of trouble unknown, ship’s status, condition unknown, crew story also unknown, abandonment not yet confirmed, maybe some crew remain on board. Awaiting updates. 
 







",2022-10-14,12:48:28,msc-3000-teu-container-ship-disabled-in-the-atlantic-oct-16-,Accidents,"[{'id': '494', 'attributes': {'assetId': 416313, 'assetName': 'MSC ATLANTIC III', 'assetType': 'vessel'}}]",2022-10-14 12:48:28+00:00,['[MSCATL1.jpg](https://media.fleetmon.com/maritimenews/MSCATL1.jpg)']
2210,1699,Port of Long Beach Achieves 2023 Emission Reduction Goal,"The Port of Long Beach has managed to successfully achieve all the 2023 emission reduction goals outlined in the San Pedro Bay Ports Clean Air Action Plan (CAAP). As per the US Port’s annual emission inventory report, there has been a decline of 62% in smog-forming nitrogen oxides, 90% in diesel soot, and a massive dip of 97% in Sulphur oxides. The annual emissions inventory is reviewed by South Coast Air Quality Management District, California Air Resources Board, and the US Environmental Protection Agency. The achievement was clocked when the container throughput increased by 21%.



 Celebrating the achievement, Steve Neal, Long Beach Harbor Commission President said that they are committed to their ultimate goal of becoming an emission-free port. Port of Long Beach explained that the pollution levels were with respect to the 2005 baseline, the year before the original San Pedro Bay CAAP was adopted.



 Though the achievement of Port of Long Beach is quite a success story, there is much more to it. The west coast of the US has been struggling with a severe supply chain crisis and has witnessed a record container traffic. The findings of FleetMon state that greenhouse gas emissions have increased, mainly due to the increased traffic and longer anchor stays of vessels. Between 2019 and 2020, there was a 7% increase in greenhouse gas emission attributed to several factors such as rise in cargo handling equipment, increased heavy-duty truck activity, etc.



 Visit our blog to look deeper into year-over-year CO2 emissions originating from ships in the ports of Los Angeles and Long Beach calculated by FleetMon.



 Read full Article",2021-11-03,12:20:10,port-of-long-beach-achieves-2023-emission-reduction-goal,Ports,"[{'id': '204', 'attributes': {'assetId': 87, 'assetName': 'LOS ANGELES', 'assetType': 'port'}}]",2021-11-03 12:20:10+00:00,[]
2216,1705,Ports of Long Beach and Los Angeles announce fine for container unloading delay,"Struggling with heavy backlogs and congestion at ports, the Port of Long Beach (POLB) and the Port of Los Angeles (POLA) have announced to impose a fine of 100 US dollars per day per container from shipping companies that unload cargo too slowly. Explaining the arrangement, the twin ports said that from 1st Nov, the arriving containers scheduled to be moved by trucks will be allowed to stay for 9 days and after that the fine would be collected from them. For the cargo scheduled to be moved by trains, the port stay for the containers would be only 3 days before the fine is applied.



 Mario Cordero, Executive Director of POLB said that terminals are running short on space and this move will make space for containers sitting on ships at anchor. The past month saw a number of steps taken by the port administration as well as government interventions to ease up the logjam of cargo ships that has crippled the global supply chain.



 The late fees collected from the stagnant cargo shippers will be reinvested in programs to enhance the efficiency and speed of cargo movement at these ports. It will also be used to address the impact of congestion throughout San Pedro Bay.



 This latest penalty-imposing policy was developed in coordination with the Biden-Harris Supply Chain Disruptions Task Force, the US Department of Transportations, and other supply chain stakeholders. John D. Porcari, Port Envoy to the Biden-Harris Supply Chain Disruptions Task Force supported the step taken by the twin ports and said that it will expedite the cargo movement at ports which would ultimately reduce congestion.



 Los Angeles port in FleetMon Explorer",2021-11-01,08:22:49,ports-of-long-beach-and-los-angeles-announce-fine-for-contai,Container Shipping,"[{'id': '204', 'attributes': {'assetId': 87, 'assetName': 'LOS ANGELES', 'assetType': 'port'}}]",2021-11-01 08:22:49+00:00,[]
2254,1734,US Coast Guard investigates MSC Danit in Huntington oil spill case,"On Saturday 16th Oct, the US Coast Guard investigation team boarded cargo vessel MSC Danit in Long Beach to look for evidence in the Orange County oil spill case. The investigation team suspects that MSC Danit may have struck the San Pedro Bay pipeline in January 2021 which led to a chain of events resulting in the spill of estimated 25,000-130,000 gallons of crude oil into the sea near Orange County. FleetMon reported on the oil spill in early October.



 The theory believed by the investigators is that the underwater pipeline was hooked by an anchor of a large vessel and then the 4000-foot section of the pipe was dragged over a distance of 100 feet, ultimately breaking off the concrete outer casing of the line. Convinced with the proposed theory, Captain Jason Neubauer said that ROV inspection has suggested that the anchor strike must have occurred months ago or even a year in the past. His investigation team has focused on an unusual storm that had hit the area on January 24-25 this year which led to a lot of vessel management activity at the Marine Exchange VTS of San Pedro Bay.



 In the press release, Coast Guard has said that investigators determined that MSC Danit had dragged the anchor on January 25 during the heavy weather event. With its huge size and massive deadweight, the vessel fits in the Coast Guard’s suspected vessel’s criteria.



 FleetMon's AIS vessel tracking data shows the giant container vessel, MSC Danit to be moving erratically over the pipeline while anchored off the Port of Long Beach on January 24-25, 2021. The vessel had then departed to the west, away from the high winds along the east coast of Catalina Island.



 Vessel owner Dordellas Finance Corporation and vessel operator Mediterranean Shipping Company have been designated as “parties in interest” to the marine casualty investigation. Now the involved companies can cross-examine witnesses, retain lawyers and call their witnesses to support the inquiry. In the case, multiple damage scenarios are still being explored and additional vessels of interest are under investigation.",2021-10-19,11:39:21,us-coast-guard-investigates-msc-danit-in-huntington-oil-spil,Accidents,"[{'id': '1152', 'attributes': {'assetId': 420020, 'assetName': 'MSC DANIT', 'assetType': 'vessel'}}]",2021-10-19 11:39:21+00:00,[]
2291,1765,California pipeline oil spill case: Hapag Lloyd vessel comes under investigation,"US Coast Guard will be examining the Hapag Lloyd vessel Rotterdam Express in relation to the pipeline that was severed off near the coast of Southern California. It is being speculated that a ship's anchor might have damaged the pipeline that led to 3,000 barrels of crude flowing into the sea near Huntington Beach, south of Los Angeles on Sunday.



 The speculations are fueled by the US Coast Guard's initial investigation which revealed that a section of the pipeline was laterally displaced from its place by more than 30m. Hapag-Lloyd owned vessel, Rotterdam Express had anchored approximately 500m away from the pipeline when the oil spill was first detected, and later the vessel left for Oakland.



 A Hapag-Lloyd spokesperson explained that as per the direction of San Pedro  Traffic, Rotterdam Express had anchored at SF-3 anchorage on 21 September 2021. The vessel had dropped at the exact directed location and the same was confirmed by San Pedro Traffic.



 Hapag Lloyd said that their vessel Rotterdam Express did not move from anchorage nor did it pass over the pipeline. The company added that they are cooperating with the involved authorities. They also made clear that during anchorage no oil spill was detected.



 The area around Long Beach and Los Angeles has a very busy anchorage which simply means that USCG might have to check a long list of vessels to complete their investigation. Interestingly, the agency has not released any official statement blaming the anchor for the pipeline damage.



 CNN reported that the federal regulators have cited more than 100 violations by Beta Operating Company, the subsidiary of Amplify Energy and the operator of the pipeline in the last 11 years.



  Skyruth, a non-profit organization that uses satellite technology to identify environmental issues has said that Rotterdam Express was the vessel closest to the pipeline at the time of the spill. However, even if it was the closest, it was 500m away from the pipeline which reduces its chances of being the culprit.",2021-10-08,12:55:56,california-pipeline-oil-spill-case-hapag-lloyd-vessel-comes-,Maritime Security,"[{'id': '1170', 'attributes': {'assetId': 133290, 'assetName': 'AMSTERDAM EXPRESS', 'assetType': 'vessel'}}, {'id': '204', 'attributes': {'assetId': 87, 'assetName': 'LOS ANGELES', 'assetType': 'port'}}]",2021-10-08 12:55:56+00:00,[]
2320,1785,Los Angeles Experiences Relief From Congestions As Delays Skyrocket In Ports Worldwide,"The busiest US ports of Los Angeles and Long Beach have experienced a modest relief from congestion over the week. According to the statement released by Marine Exchange of Southern California on Monday, the number of vessels at anchorage in San Pedro Bay has reduced from 70 to 62, and a total of 33 vessels are berthed at the ports.



 The signs of relief were also accompanied by a warning by Danish shipping giant Maersk, which in its market update released on the same day predicted the congestions to persist through year-end.



 The California ports of Los Angeles and Long Beach have been witnessing a constant growth in vessel queues over the past month which reached an all-time high of more than 70 vessels waiting to dock on Friday. The recent reduction can be accounted for by the recourse of strategies implemented at the ports by expanding operating gate hours at night-time and during weekends for trucks.



 But the port authorities have termed the recent relaxation as temporary with an expected increase in the queue once again. According to the marine exchange, more than 19 container ships were expected to arrive at the San Pedro bay against just 12 vessels finding berthing space at the two ports over the weekend.



 Maersk noted that congestions have been worsening at several US ports owing to unprecedented demand levels. The turnaround time at the Port of Seattle had increased up to 11-12 days whereas on the East Coast with more than 30 vessels waiting to berth at port Savannah.



 The report said the successive port closures in Asia due to typhoons, hurricanes, and covid+19 outbreaks have nullified any progress made to resolve the delays. It believes the severity is determined by the projected growth in demand for containers in 2021 which has risen to an enormous 5-6%.



 The company emphasized the growing nature of delays shortly at various other US and Asian ports owing to strong demand for container shipping, which is expected to further strengthen due to China's Golden Week in October, Christmas, and Chinese New Year.



 Port congestion situation in LA port on September 16, 2021, FleetMon Explorer:



",2021-10-01,12:37:35,los-angeles-experiences-relief-from-congestions-as-delays-sk,Ports,"[{'id': '204', 'attributes': {'assetId': 87, 'assetName': 'LOS ANGELES', 'assetType': 'port'}}]",2021-10-01 12:37:35+00:00,[]
2376,1833,"Congestion Worsens at LA, Long Beach As A Record 56 Boxships Queue up","America's busiest ports of Los Angeles and Long Beach experience no relief from congestion as the queue of container ships keeps growing in the San Pedro Bay. According to Marine Exchange of Southern California, the situation at the adjacent ports has escalated dramatically with a record 56 vessels waiting for their turn.



 The congestion at the US west coast has been steadily growing from June through September. Currently, more than 31 container vessels are berthed at these two ports for availing cargo operations and the average anchorage time has risen to 8.5 days.



 The situation has arisen due to an extreme imbalance in import and export volumes at the ports owing to the irrational bolstering of inventories by shippers ahead of the holiday season.



 According to a press release by Dr. Johannes Schlingmeier, CEO of Container xChange, ""There is a 60% increase in the inbound outbound ratio at the ports of US West Coast,""



 By the end of the month, the number of ships at anchorage is expected to be double the number that can be handled by both the ports at any instance. The estimates by the Los Angeles port reveal an expected increase in import volumes of about 9.14% and 21.65%, over the next two weeks respectively, in comparison to the previous week.



 The growing queue of ships at anchorage is also becoming a cause of concern among environment protection authorities and groups. The large-scale underwater noise pollution and damage to the seabed are likely to disturb marine ecology in the region. Increased dumping of waste and release of emissions is also expected to deteriorate air and water quality.



 These congestions are expected to translate into severe fiscal losses with disruption of trade and supply chain. According to Russell group estimates the disruption could affect trade worth $90 billion.



 The upcoming golden week holidays in China during the first week of October might bring some temporary relief to the ports with an increase in blank sailings, but to fix the crisis there is still a long way to go.







 Open LA Port in FleetMon Explorer",2021-09-16,07:58:17,congestion-worsens-at-la-long-beach-as-a-record-56-boxships-,Ports,"[{'id': '204', 'attributes': {'assetId': 87, 'assetName': 'LOS ANGELES', 'assetType': 'port'}}]",2021-09-16 07:58:17+00:00,[]
2657,2061,"Los Angeles Hits a New Milestone, 10M Containers Processed in a Year","Riding the growth wave in imports, the Port of Los Angeles has reached the epitome height where it has processed 10 million containers in a year. In the Western Hemisphere, the Port of Los Angeles has become the first port to attain this milestone and the same was marked with a ceremony on 9 June 2021. It is expected by 30 June, when the port will be completing its fiscal year 2020-2021 it would have processed more than 10.8 million TEUs. These surge in numbers crunch a growth percentage of 17 percent in volumes.



 As per the port officials, the rise in the container volume can be attributed to pandemic-induced consumer buying. When the pandemic restrictions were eased last year, the consumer buying surge happened and it has continued. This consumer buying surge started the chain of restocking the retail outlet shelves and e-commerce warehouses throughout the USA.



 For the last twelve months, Port of Los Angeles has handled an average of 15 containerships per day which is 50% up from the pre-pandemic average. Jamie Lee, President of the Los Angeles Board of Harbor Commissioners, picturized the massive scale of operation by saying that if the 10 million containers are stacked end-to-end, they will circle the world one and half a time. He further extended his gratitude towards the terminal operators, shipping line partners, truckers, longshore workers, and other stakeholders for achieving this remarkable feat during the hours of a pandemic.



 The past year has not been easy for the Port of Los Angeles. The rush of containers had strained the resources at the port and by the beginning of the year 2021, there were visible bottlenecks and congestion at the port. At one point in time, there were as many as 60 ships anchored in San Pedro Bay and the waiting time for ships to berth at terminals had hit 10 days. Port dedicated resources to manage this deadlock and finally has brought down the waiting time to 4.9 days.



 In the coming weeks, the Port of Los Angeles might face a dip in container inflow due to congestions happening in China. Despite challenges, Gene Seroka, Port Executive Director has a very optimistic outlook and he predicts a strong future. He says that the infrastructure investments and the supply chain digitization will present opportunities to build on the high growth of the port.



 Visit the port of Los Angeles and Long Beach with FleetMon Explorer for real-time vessel tracking.



 See all Photos",2021-06-14,08:11:45,los-angeles-hits-a-new-milestone-10m-containers-processed-in,Container Shipping,"[{'id': '204', 'attributes': {'assetId': 87, 'assetName': 'LOS ANGELES', 'assetType': 'port'}}]",2021-06-14 08:11:45+00:00,[]
